Namesake,Original,Namesake Coordinates,Original Coordinates
"Lourdes, Iowa","Lourdes, France","(43.262192, -92.2987841)","(43.0940904, -0.0464975)"
"Lyons, New York","Lyon, France","(43.0642305, -76.9902456)","(45.7578137, 4.8320114)"
"Lyon, Mississippi","Lyon, France","(34.2178865, -90.5420429)","(45.7578137, 4.8320114)"
"Marseilles, Illinois","Marseille, France","(41.3308666, -88.7081293)","(43.2961743, 5.3699525)"
"Mentone, Texas","Menton, France","(31.7067317, -103.5985429)","(43.7753495, 7.5029213)"
"Metz, Missouri","Metz, France","(37.9969785, -94.44295146659815)","(49.1196964, 6.1763552)"
"Montpelier, Vermont","Montpellier, France","(44.2602164, -72.5751208)","(43.6112422, 3.8767337)"
"Montpelier, Ohio","Montpellier, France","(41.5844951, -84.6055076)","(43.6112422, 3.8767337)"
"Montpelier, Indiana","Montpellier, France","(40.5539337, -85.277472)","(43.6112422, 3.8767337)"
"Nice, California","Nice, France","(39.121271, -122.83560213628311)","(43.7009358, 7.2683912)"
"Orleans, New York","Orléans, France","(43.2244513, -78.2272835)","(47.9027336, 1.9086066)"
"Paris, Arkansas","Paris, France","(35.2924747, -93.7294452)","(48.8534951, 2.3483915)"
"Paris, Idaho","Paris, France","(42.2340495, -111.40322971300566)","(48.8534951, 2.3483915)"
"Paris, Illinois","Paris, France","(39.611146, -87.6961374)","(48.8534951, 2.3483915)"
"Paris, Kentucky","Paris, France","(38.2097987, -84.2529869)","(48.8534951, 2.3483915)"
"Paris, Maine","Paris, France","(44.259954, -70.500641)","(48.8534951, 2.3483915)"
"Paris, Missouri","Paris, France","(39.4808721, -92.0012811)","(48.8534951, 2.3483915)"
"Paris, New York","Paris, France","(43.0006253, -75.3137775)","(48.8534951, 2.3483915)"
"Paris, Tennessee","Paris, France","(36.3019461, -88.3258578)","(48.8534951, 2.3483915)"
"Paris, Texas","Paris, France","(33.6617962, -95.555513)","(48.8534951, 2.3483915)"
"Roann, Indiana","Roanne, France","(40.9117101, -85.9244344)","(46.0345572, 4.0729178)"
"Roubaix, South Dakota","Roubaix, France","(44.2758183, -103.6663058)","(50.6915893, 3.1741734)"
"St. Cloud, Minnesota","Saint-Cloud, France","(45.5616075, -94.1642004)","(48.8437412, 2.219344)"
"Ste. Mere Eglise, North Carolina","Sainte-Mère-Église, France",,"(49.411770399999995, -1.3268247811335525)"
"Saint Omer, Indiana","Saint-Omer, France","(39.4356047, -85.5958076)","(50.7515771, 2.2534183)"
"Sedan, Kansas","Sedan, France","(37.1267196, -96.1869361)","(49.7033759, 4.9433409)"
"Strasburg, Pennsylvania","Strasbourg, France","(39.9831559, -76.1841226)","(48.584614, 7.7507127)"
"Toulon, Kansas","Toulon, France","(38.8516785, -99.2414894)","(43.1257311, 5.9304919)"
