Namesake,Original,Namesake Coordinates,Original Coordinates
"Dothan, Alabama","Dothan, Ancient world","(31.2237285, -85.3934375)",
"Ekron, Kentucky","Ekron, Ancient world","(37.9292349, -86.1794145)",
"Indore, West Virginia","Endor, Ancient world","(38.3528812, -81.1467757)",
"Ephesus, Georgia","Ephesus, Ancient world","(33.4070586, -85.2543915)",
"New Galilee, Pennsylvania","Galilee, Ancient world","(40.8356188, -80.3995096)",
"Gaza, New Hampshire","Gaza, Ancient world","(43.5220203, -71.5945204)",
"Hebron, Nebraska","Hebron, Ancient world","(40.166393, -97.585875)",
"Hebron, Kentucky","Hebron, Ancient world","(39.065813, -84.7027575)",
"Herculaneum, Missouri","Herculaneum, Ancient world","(38.2683879, -90.3801201)",
"Iconium, Iowa","Ikónion, Ancient world","(40.8913969, -92.9552004)",
"Ithaca, New York","Ithaca, Ancient world","(42.437417499999995, -76.54837235139263)",
"Jerico Springs, MO","Jericho, Ancient world","(37.6222649, -94.0085518)",
"Jericho, Vermont","Jericho, Ancient world","(44.5061612, -72.9953537)",
"Jerusalem, New York","Jerusalem, Ancient world","(42.6090306, -77.1548114)",
"Joppa, Maryland","Jaffa, Ancient world","(39.433719, -76.3577373)","(32.054453, 34.7551558)"
"Karnak, Illinois","Karnak, Ancient world","(37.2936633, -88.9753462)",
"Laurium, Michigan","Laurium, Ancient world","(47.237426, -88.443173)",
"Marathon, New York","Marathon, Ancient world","(42.4417391, -76.0321474)",
"Memphis, Missouri","Memphis, Ancient world","(40.4578119, -92.1712924)",
"Memphis, Tennessee","Memphis, Ancient world","(35.1460249, -90.0517638)",
"Mycenae, New York","Mycenae, Ancient world","(43.0489558, -75.9304719)",
"Nazareth, Pennsylvania","Nazareth, Ancient world","(40.7423309, -75.3112095)",
"Nineveh, New York","Nineveh, Ancient world","(42.1942461, -75.6024071)",
"Palmyra, New Jersey","Palmyra, Ancient world","(40.0070565, -75.0282271)",
"Pompeii, Michigan","Pompeii, Ancient world","(43.1839201, -84.6008291)",
"Philippi, Tennessee","Philippi, Ancient world","(35.9883955, -85.7710953)",
"Samaria, Indiana","Samaria, Ancient world","(39.4039378, -86.1863789)",
"Sardis, Alabama","Sardis, Ancient world","(32.7040195, -85.7580125)",
"Shiloh, Georgia","Shiloh, Ancient world","(32.8101325, -84.6960378)",
"Sidon, Mississippi","Sidon, Ancient world","(33.407942500000004, -90.20802695478497)",
"Smyrna, Georgia","Smyrna, Ancient world","(33.883887, -84.5147454)",
"Sparta, Georgia","Sparta, Ancient world","(33.2757006, -82.9762589)",
"Shushan, New York","Susa, Ancient world","(43.0903546, -73.3428885)",
"Syene, Wisconsin","Swenett, Ancient world","(43.0092423, -89.39572542693574)",
"Syracuse, New York","Syracuse, Ancient world","(43.0481221, -76.1474244)",
"Tarentum, Pennsylvania","Taranto, Ancient world","(40.6021328, -79.7545147)",
"Thebes, Illinois","Thebes, Ancient world","(37.2208838, -89.4609209)",
"Timonium, Maryland","Timonium, Ancient world","(39.4475075, -76.5974223220619)",
"Troy, Alabama","Troy, Ancient world","(31.8087678, -85.969951)",
"Troy, Illinois","Troy, Ancient world","(38.7292147, -89.8831541)",
"Troy, Michigan","Troy, Ancient world","(42.6055893, -83.1499304)",
"Troy, Missouri","Troy, Ancient world","(38.9794923, -90.9806954)",
"Troy, New York","Troy, Ancient world","(42.7284117, -73.6917878)",
"Tekoa, Washington","Tekoa, Ancient world","(47.2233681, -117.070875)",
"Tyre, New York","Tyre, Ancient world","(42.9911757, -76.8021781)",
"Utica, New York","Utica, Ancient world","(43.1009031, -75.2326641)",
